"date","ws","wd","pm10","pm25","u","v","year","precip","s.rad","a.temp","rh","dp","s.temp","height","temp850","ws.max","wd.max","u.max","v.max","time","dow","u.s1","v.s1","u.max.s1","v.max.s1"
2014-10-11,1.33540293651591,277.599229582352,25.625,10.7916666666667,-1.32368095238095,0.176604761904762,2014,0.6,173.333333333333,11.4791666666667,90.0833333333333,9.78333333333333,19.0875,5860,17.4,8.7,285,-8.4036,2.2517,11,"6",-0.933829166666667,0.671270833333333,-7.0461,2.1542
2014-10-12,2.2618047990968,268.444482762709,33.2916666666667,11.3333333333333,-2.26097142857143,-0.0613952380952381,2014,0.3,171.916666666667,15.1,74.375,9.66666666666667,18.925,5910,21,10.2,261,-10.0744,-1.5956,12,"0",-0.287195833333333,-1.03374583333333,-4.0084,-4.9854
2014-10-13,2.10075048907985,297.013638171985,39.5,12.4583333333333,-1.87156666666667,0.954154166666667,2014,0.4,158.333333333333,15.5625,85.5833333333333,13.025,18.925,5910,21.2,9.3,282,-9.0968,1.9336,13,"1",-0.782879166666667,0.616220833333333,-4.1837,0.9122
2014-10-14,4.55588070008848,195.9965822323,31.9130434782609,10.4347826086957,-1.25550833333333,-4.37945833333333,2014,0,127.458333333333,17.1791666666667,75.875,12.6875,19.3,NA,NA,17.4,228,-12.9307,-11.6429,14,"2",-0.437075,-2.82614166666667,-5.396,-7.94
2014-10-15,2.52996837651916,301.316970941596,26.4583333333333,7.75,-2.16136666666667,1.31502083333333,2014,0.6,154.291666666667,17.9375,77.7916666666667,13.7958333333333,19.4,5770,8.4,10.8,292,-10.0136,4.0458,15,"3",-1.63516666666667,0.6444875,-7.9114,3.0528
2014-10-16,1.88760041454643,292.626030000609,33.5416666666667,7.54166666666667,-1.742325,0.7261875,2014,0,160.5,15.4916666666667,81.875,12.2625,18.9541666666667,NA,NA,11.1,278,-10.992,1.5448,16,"4",-1.03955,0.443366666666667,-8.6678,1.6848
2014-10-17,2.00820092999618,290.199134750968,27.5,6.20833333333333,-1.88469583333333,0.693408333333333,2014,0.6,153.291666666667,15.0625,80.625,11.5375,18.5791666666667,NA,NA,8.2,265,-8.1688,-0.7147,17,"5",-0.326745833333333,0.3342375,-5.7685,1.6323
2014-10-18,3.41859574348277,306.430190310615,76.125,12.4583333333333,-2.7505375,2.03010833333333,2014,0,161.291666666667,17.7708333333333,71.8333333333333,12.1708333333333,18.5583333333333,5750,10.8,12.4,293,-11.4143,4.8451,18,"6",-1.56247083333333,1.77625,-9.7783,2.5288
2014-10-19,1.65986644276624,273.453470281349,27.2083333333333,5.875,-1.65685,0.0999916666666667,2014,0.2,145.25,16.0041666666667,80.9583333333333,12.5666666666667,18.475,5780,15.8,9.2,275,-9.165,0.8018,19,"0",-0.861004166666667,0.315279166666667,-5.7129,3.325
2014-10-20,3.52954100111076,305.576854297859,39.9166666666667,7.83333333333333,-2.8707,2.05347391304348,2014,0,161.875,16.5708333333333,83,13.525,18.6625,5790,13.6,14.9,288,-14.1707,4.6044,20,"1",-1.73859166666667,1.95540416666667,-10.0063,2.9071
2014-10-21,3.74400231164739,326.145599027699,61.75,NA,-2.08571666666667,3.109225,2014,0.1,157.791666666667,18.1333333333333,56.7916666666667,8.975,18.375,5780,11,13.4,297,-11.9395,6.0835,21,"2",-1.46415833333333,4.70827916666667,-10.3542,5.2076
2014-10-22,3.47587305433322,322.139097931432,73.75,NA,-2.13330416666667,2.74421666666667,2014,0.5,159.666666666667,19.6875,51.625,8.85416666666667,18.1625,5830,17.6,10.8,304,-8.9536,6.0393,22,"3",-2.18914583333333,3.03737916666667,-8.745,4.533
2014-10-23,0.36028057730835,227.859355062998,50.7083333333333,10.6818181818182,-0.26714347826087,-0.241730434782609,2014,0.1,151.875,16.3875,75.1666666666667,11.5083333333333,18.0083333333333,5860,19.2,8.7,290,-8.1753,2.9756,23,"4",0.207991666666667,-0.208833333333333,-4.2938,0.7031
2014-10-24,1.93444531734529,276.100392150473,25.875,7.95833333333333,-1.92349523809524,0.205571428571429,2014,0.5,159.416666666667,13.6666666666667,87.5,11.4125,18.2291666666667,5850,17.2,7.6,277,-7.5434,0.9262,24,"5",-1.10598333333333,-0.0568708333333333,-3.8502,1.3257
2014-10-25,2.3260420049517,295.604355640278,25.8333333333333,5.83333333333333,-2.09761666666667,1.00521666666667,2014,0.7,148.333333333333,15.075,81.5416666666667,11.7333333333333,18.1125,5800,11.6,11.5,273,-11.4842,0.6019,25,"6",-0.9509375,0.951266666666667,-7.1562,3.8371
2014-10-26,4.4786842805521,321.634134678525,77.0416666666667,16.5833333333333,-2.7798375,3.51157083333333,2014,0,159.25,16.5791666666667,62.9166666666667,9.22916666666667,17.9375,5790,8.2,13.2,305,-10.8128,7.5712,26,"0",-2.30795416666667,3.91471666666667,-10.8739,5.3979
2014-10-27,4.27812970118447,317.971823449834,78.3478260869565,19.8695652173913,-2.86419583333333,3.17786666666667,2014,0.5,158.166666666667,16.7833333333333,51,6.29166666666667,17.4375,5790,10,12.5,303,-10.4834,6.808,27,"1",-2.76716666666667,3.4147625,-10.4308,4.2143
2014-10-28,1.29979973292007,296.873805691009,48.625,10.9166666666667,-1.15943333333333,0.587545833333333,2014,0,153.541666666667,17.3708333333333,54.125,7.625,17.1958333333333,5820,14.8,11,277,-10.918,1.3406,28,"2",-0.280516666666667,0.52485,-6.4272,1.3427
2014-10-29,1.15903032103758,268.677286548896,54.9166666666667,11.9166666666667,-1.15872083333333,-0.0267666666666667,2014,0,154.416666666667,18.4375,56.125,8.89583333333333,17.35,5860,17.2,10.5,278,-10.3978,1.4613,29,"3",0.534195833333333,-0.263045833333333,-0.2969,4.0431
2014-10-30,1.47145825450166,283.877766139045,45.4347826086956,10.3913043478261,-1.42849583333333,0.352929166666667,2014,0,107.5,15.9708333333333,74.5833333333333,11.1875,17.3458333333333,5830,16.6,9.9,249,-9.2424,-3.5478,30,"4",0.0849791666666667,0.124820833333333,-3.8052,-3.2157
2014-10-31,3.41652495740435,204.090370163763,24.7083333333333,7.16666666666667,-1.39454583333333,-3.11895,2014,29.3,91.4166666666667,15.6708333333333,82.7083333333333,12.5291666666667,17.325,5740,8.4,13.2,226,-9.4953,-9.1695,31,"5",0.202129166666667,-2.091775,-2.7975,-7.0298
2014-11-01,2.6084171348053,274.277944202207,14.625,5.54166666666667,-2.60114583333333,0.194566666666667,2014,7.9,132.208333333333,12.7166666666667,84.125,10.0333333333333,16.5416666666667,5530,3.4,11.3,272,-11.2931,0.3944,32,"6",-2.27637916666667,-0.1907125,-7.5555,-3.4115
2014-11-02,1.71540858594234,1.2597583501843,14.75,6.70833333333333,0.037725,1.71499583333333,2014,0,138,13.3125,71.25,7.70416666666667,16.225,5610,3.6,5.2,318,-3.4795,3.8644,33,"0",0.307229166666667,2.24310416666667,-5.7527,2.0824
2014-11-03,2.2789888047377,306.816074615743,28.6666666666667,10.9583333333333,-1.8244625,1.36567916666667,2014,0,145.291666666667,14.5791666666667,62.5833333333333,7.25416666666667,16.1041666666667,5730,9.2,9,267,-8.9877,-0.471,34,"1",-1.145175,2.46630416666667,-8.2501,2.4281
2014-11-04,0.49990728008697,278.079199763948,24.5,11.25,-0.494941666666667,0.0702541666666667,2014,0,150.5,15.7416666666667,58.25,7.11666666666667,16.0666666666667,5830,13.2,7.1,270,-7.1,0,35,"2",0.865366666666667,0.376716666666667,2.7401,3.2632
2014-11-05,0.176461729212001,311.961532585548,31.7083333333333,13.25,-0.131216666666667,0.117975,2014,0,154.041666666667,18.2833333333333,44.2916666666667,4.95,16.2916666666667,5890,18,6.4,283,-6.236,1.4397,36,"3",0.814675,0.0927791666666667,2.1996,2.8093
2014-11-06,0.36222564607475,259.699186738025,27.625,9.66666666666667,-0.356391666666667,-0.0647791666666667,2014,0.4,151.375,16.875,64.9583333333333,9.60833333333333,16.3666666666667,5910,18.4,7.6,291,-7.0952,2.7236,37,"4",0.6217625,-0.4745875,2.8821,-2.0863
2014-11-07,0.536776531051104,268.768739573408,33.9583333333333,10.9166666666667,-0.53665,-0.0115458333333333,2014,0.3,148.75,15.85,79.4583333333333,11.8,16.5166666666667,5910,18.2,7.5,276,-7.4589,0.784,38,"5",-0.140383333333333,-0.111366666666667,-6.6301,3.5253
2014-11-08,1.17644059992052,278.002560484264,12.0833333333333,7.20833333333333,-1.16498571428571,0.163766666666667,2014,0.3,136.625,10.825,94.2916666666667,9.85416666666667,16.5041666666667,5910,19.2,7,279,-6.9138,1.095,39,"6",0.136416666666667,-0.43125,-3.0676,0.5354
2014-11-09,NA,NA,17.25,12.3333333333333,NA,NA,2014,0.4,115.666666666667,7.28333333333333,95.25,6.55416666666667,16.6666666666667,5860,18.2,6.1,289,-5.7677,1.986,40,"0",-0.531470833333333,0.233529166666667,-3.3838,0.6516
2014-11-10,0.672146914080125,33.3539966953206,25.4782608695652,11.2173913043478,0.36955,0.561433333333333,2014,0.1,52.0833333333333,8.14583333333333,90.125,6.57083333333333,16.8416666666667,5800,17.6,4.9,292,-4.5432,1.8356,41,"1",0.0993541666666667,0.9106875,-3.6271,1.4655
2014-11-11,1.94043589375529,294.382468156163,26,10.5416666666667,-1.767375,0.801058333333333,2014,0.3,95.0416666666667,13.1875,82.8333333333333,10.2708333333333,17.0833333333333,NA,NA,8.2,287,-7.8417,2.3974,42,"2",-0.750129166666667,0.380854166666667,-3.5141,1.286
2014-11-12,3.37982116766895,295.773276541407,32.9166666666667,9.58333333333333,-3.0436,1.46958333333333,2014,0,127.375,13.8208333333333,76.7083333333333,9.6625,17.0083333333333,5770,13,10.9,281,-10.6997,2.0798,43,"3",-3.09581666666667,1.52550833333333,-7.3621,3.4018
2014-11-13,1.71476741544189,112.478190917981,16.625,5.66666666666667,1.58448947368421,-0.65561052631579,2014,0.2,45.7916666666667,13.0958333333333,89.75,11.425,16.7333333333333,5780,11.4,6.5,247,-5.9833,-2.5398,44,"4",0.6828375,-0.342270833333333,4.6722,-2.453
2014-11-14,3.83906712848158,308.614129085659,50.9130434782609,9.30434782608696,-2.99972083333333,2.39585416666667,2014,0.2,134.875,12.4458333333333,82.2083333333333,9.2375,17.0458333333333,5720,8.4,12.6,291,-11.7631,4.5154,45,"5",-2.8203625,2.134225,-10.2828,3.2027
2014-11-15,2.95034694922377,310.337284152442,54.75,12.7916666666667,-2.24889583333333,1.90971666666667,2014,0,134.958333333333,13.4916666666667,76.9166666666667,9.32916666666667,16.5291666666667,5740,10.6,14.6,301,-12.5146,7.5196,46,"6",-0.877758333333333,2.3097375,-11.0818,4.9571
2014-11-16,0.935415997411872,349.796247608123,20.625,8.45833333333333,-0.165704166666667,0.920620833333333,2014,0,113.625,14.9416666666667,67.5,8.60416666666667,16.3,5800,12,8.6,276,-8.5529,0.8989,47,"0",0.583783333333333,1.84456666666667,3.8836,4.3896
2014-11-17,0.221032758434384,345.022675101696,29.3333333333333,10.625,-0.0571291666666667,0.2135125,2014,0,126.416666666667,14.575,62,7.07916666666667,16.1875,5800,11.6,7,278,-6.9319,0.9742,48,"1",0.664345833333333,0.0334916666666667,3.0075,-1.3015
2014-11-18,0.664934527466463,23.0293712450481,31.375,9.625,0.260116666666667,0.611945833333333,2014,0,111.083333333333,15.7416666666667,44.2083333333333,2.825,15.8666666666667,5810,11.2,6.5,283,-6.3334,1.4622,49,"2",0.701141666666667,0.140308333333333,-3.1574,-3.8576
2014-11-19,0.496675272998164,88.4171731126261,20.5416666666667,7.66666666666667,0.4964875,0.0137208333333333,2014,0.9,62.0833333333333,15.8833333333333,63.625,8.375,15.9208333333333,5730,10,6.1,243,-5.4351,-2.7693,50,"3",0.918829166666667,0.0599333333333333,-3.2999,-3.358
2014-11-20,0.941848969019977,307.831913384152,15.3333333333333,6.16666666666667,-0.743883333333333,0.577679166666667,2014,0.7,48.4583333333333,13.3666666666667,90.2083333333333,11.7666666666667,16.4375,5750,6.8,6,287,-5.7378,1.7542,51,"4",-0.238875,0.718358333333333,-4.5488,1.6826
2014-11-21,2.36272586413398,327.710387025702,20.125,7.125,-1.262175,1.99735416666667,2014,0.1,133.958333333333,13.225,75.875,8.77083333333333,16.0666666666667,5670,5,9.4,291,-8.7757,3.3687,52,"5",-0.5059375,3.193875,-6.7135,5.9187
2014-11-22,3.5994384361093,313.795958447362,16.75,5.91666666666667,-2.59810833333333,2.49114583333333,2014,0,121.791666666667,14.85,75.125,10.3125,15.925,5810,10.6,10.7,299,-9.3584,5.1875,53,"6",-1.05953333333333,2.75270416666667,-0.5881,8.0084
2014-11-23,1.9931778341419,341.451454789546,19.75,6.70833333333333,-0.63405,1.8896375,2014,0,132.625,15.1666666666667,54.1666666666667,4.625,15.8708333333333,5810,13.6,8.3,272,-8.2949,0.2897,54,"0",0.440441666666667,3.57149166666667,-0.8337,8.2078
2014-11-24,1.6354233188111,30.2697611902193,17.695652173913,8.30434782608696,0.824379166666667,1.41244166666667,2014,0.1,135.416666666667,16.2375,37.9583333333333,0.825,15.2291666666667,5840,11.2,4.4,55,3.6043,2.5237,55,"1",1.3976125,2.94365833333333,1.2373,8.3589
2014-11-25,0.279993610942579,22.8554398442082,42.2916666666667,12.5416666666667,0.108754166666667,0.258004166666667,2014,0,135.166666666667,16.1708333333333,39.5833333333333,0.95,15.0958333333333,5890,14.6,7.3,282,-7.1405,1.5178,56,"2",0.839954166666667,-0.352833333333333,2.9303,-1.9249
2014-11-26,0.580565493803373,348.922242125699,48.875,12.9583333333333,-0.11155,0.569758333333333,2014,0.3,135.041666666667,16.0958333333333,46.4166666666667,2.94583333333333,15.0583333333333,5900,19.8,7.2,275,-7.1726,0.6275,57,"3",0.767633333333333,-0.200858333333333,2.9017,-1.4027
2014-11-27,0.265950723426441,342.805419901694,38.5416666666667,13.75,-0.0786125,0.254066666666667,2014,0,132.833333333333,15.4208333333333,63.0416666666667,7.64583333333333,15.1666666666667,5890,18.8,6.4,294,-5.8467,2.6031,58,"4",0.898591666666667,0.0393458333333333,3.4227,-2.4685
2014-11-28,0.697919164437936,323.558724242272,51,15.5416666666667,-0.4145625,0.561458333333333,2014,0.4,135.25,12.4625,80.5416666666667,8.975,15.0083333333333,5830,18,6.2,275,-6.1764,0.5404,59,"5",0.403204166666667,-0.0509625,-3.0927,1.1074
2014-11-29,0.571200432401026,2.79895180514382,41.0833333333333,12.625,0.0279,0.5705125,2014,0,123.416666666667,11.9125,69.375,5.9125,14.6208333333333,5710,14,5.3,286,-5.0947,1.4609,60,"6",0.733783333333333,0.3462375,2.934,-1.138
2014-11-30,5.22357395688675,147.162600869426,18.9166666666667,8.29166666666667,2.832525,-4.38891666666667,2014,0,45.7916666666667,16.6,71.25,11.3166666666667,15.0125,5640,6.6,13.3,158,4.9823,-12.3315,61,"0",1.4938375,-2.95870833333333,-0.3751,-7.9532
2014-12-01,3.71088023126899,120.668660282788,19.375,5.33333333333333,3.19184166666667,-1.89280833333333,2014,0,64.8333333333333,17.7,70.0416666666667,12.0916666666667,15.5625,5740,8.6,10.9,149,5.6139,-9.3431,62,"1",2.467275,-1.25004583333333,3.2458,-5.9286
2014-12-02,6.21601757655761,125.052966831545,7.19047619047619,2.9047619047619,5.08857272727273,-3.57006363636364,2014,17.9,25.75,15.3416666666667,84.625,12.6833333333333,15.6375,5720,10.2,15,129,11.6572,-9.4398,63,"2",4.32077083333333,-3.28816666666667,8.6436,-7.2786
2014-12-03,7.09963421724233,143.417246770233,7,3.79166666666667,4.23126666666667,-5.70097916666667,2014,0.1,105.958333333333,17.3875,82.125,14.2,15.9541666666667,5670,7.8,14.2,160,4.8567,-13.3436,64,"3",2.0586125,-4.3199125,2.2928,-7.3612
2014-12-04,2.12621156904646,142.623956913964,17.25,4.54166666666667,1.29070833333333,-1.6896375,2014,0,70.1666666666667,16.1375,82.5,13.1,16.275,5690,8,9.7,218,-5.9719,-7.6437,65,"4",0.7907,-2.0907375,-3.5717,-5.2164
2014-12-05,3.87491399679787,130.373168122549,13.9583333333333,4.83333333333333,2.952075,-2.51002916666667,2014,0,49.6666666666667,16.15,80.7083333333333,12.7791666666667,16.2333333333333,5710,6.8,9.3,153,4.2221,-8.2864,66,"5",2.2716375,-2.03594166666667,2.2635,-5.0839
2014-12-06,0.319655619755705,324.066948538023,16.0416666666667,7.45833333333333,-0.187595833333333,0.258825,2014,0,123.208333333333,15.55,81.1666666666667,12.1291666666667,16.2333333333333,5740,7.8,6.6,301,-5.6573,3.3993,67,"6",0.1755,0.0583458333333333,-4.1831,2.2902
2014-12-07,0.656850814646238,317.780157099127,17.2083333333333,6.04166666666667,-0.4413875,0.48645,2014,0,84.5416666666667,13.1166666666667,88.625,11.1583333333333,16.0708333333333,5820,11.6,6.6,266,-6.5839,-0.4604,68,"0",0.5929,0.638366666666667,-5.9511,3.0453
2014-12-08,1.77133481274155,323.25171907286,26.0434782608696,7.82608695652174,-1.05978333333333,1.419325,2014,0,123.708333333333,13.875,83.4583333333333,10.9541666666667,15.8625,5790,11.8,8.6,296,-7.7296,3.77,69,"1",-0.0488166666666667,1.73584583333333,-7.0091,4.1783
2014-12-09,1.68000405193553,319.421104331048,36.875,9.33333333333333,-1.09282916666667,1.2759875,2014,0,118.208333333333,14.7625,76.5833333333333,10.4875,15.7125,5800,14,8.6,309,-6.6835,5.4122,70,"2",-0.6122625,1.46785833333333,-8.0359,6.2333
2014-12-10,0.393459160922771,97.1123180054693,26.7916666666667,9.08333333333333,0.390433333333333,-0.0487125,2014,0,77.9166666666667,13.2833333333333,82.625,10.2958333333333,15.6166666666667,5790,15.2,5.8,278,-5.7436,0.8072,71,"3",0.841083333333333,-0.478258333333333,3.2412,-1.116
2014-12-11,10.8032993043283,139.536874003704,26.1666666666667,6,7.01090416666667,-8.21939583333333,2014,16.6,48.5833333333333,15.2166666666667,81.7916666666667,12.0541666666667,15.525,5730,11.4,21.5,130,16.47,-13.8199,72,"4",4.73967083333333,-6.41530416666667,11.252,-11.1347
2014-12-12,0.902265724368171,219.448847425422,13.875,5.70833333333333,-0.5732875,-0.696716666666667,2014,46.9,85.6666666666667,10.8916666666667,87.5416666666667,8.78333333333333,14.075,5530,4.2,8.8,252,-8.3693,-2.7193,73,"5",-0.282054166666667,-0.0312333333333334,5.2316,-3.4759
2014-12-13,1.06953216847987,323.411323234094,15.5833333333333,8.875,-0.6375125,0.858758333333333,2014,0,123.666666666667,10.4958333333333,76.5833333333333,6.2375,14.1291666666667,5590,2,6.7,286,-6.4405,1.8468,74,"6",0.444108333333333,1.3532,-3.7015,4.6534
2014-12-14,1.04544607786939,108.84709226413,19.8333333333333,10.75,0.989404166666667,-0.337716666666667,2014,0,93,10.4208333333333,75.0833333333333,6.02083333333333,13.9083333333333,5710,6.4,5.8,238,-4.9187,-3.0735,75,"0",1.345525,-0.519608333333333,2.8184,-2.4157
2014-12-15,7.15403861610844,134.2015608813,13.1666666666667,6.41666666666667,5.12867083333333,-4.98768333333333,2014,0.6,53.3333333333333,12.6833333333333,77.4583333333333,8.64166666666667,14,5670,4.4,16.2,150,8.1,-14.0296,76,"1",4.10665,-4.3619,4.2541,-10.2199
2014-12-16,3.2858478406945,149.837901485671,13.75,6.79166666666667,1.65097083333333,-2.84096666666667,2014,7.4,96.1666666666667,13.4125,78.875,9.74583333333333,14.25,5590,4.4,10,234,-8.0902,-5.8779,77,"2",1.73995833333333,-2.34505416666667,-3.7631,-5.6001
2014-12-17,0.981896228583644,76.5172266242345,19.9583333333333,9.04166666666667,0.954833333333333,0.228941666666667,2014,0.7,74,10.9291666666667,82.25,7.89166666666667,14.1875,5590,2.4,4.4,296,-3.9547,1.9288,78,"3",1.281,0.0152666666666667,4.1531,-3.7923
2014-12-18,0.912100314689961,83.5043078192077,15.125,7,0.906245833333333,0.103179166666667,2014,0.2,85.4166666666667,12.1291666666667,84.4583333333333,9.525,14.1958333333333,5670,5.4,5.4,294,-4.9331,2.1964,79,"4",0.966725,-0.257075,4.2977,-0.105
2014-12-19,1.3945514702886,112.670133238401,22.6666666666667,8.41666666666667,1.28680833333333,-0.537504166666667,2014,0,73.4166666666667,12.7083333333333,83.2916666666667,9.8625,14.2916666666667,5740,8.8,4.7,148,2.4906,-3.9858,80,"5",1.58510833333333,-0.814445833333333,3.8195,-0.5981
2014-12-20,1.09483674064329,314.365883743184,21.0833333333333,6.5,-0.7826875,0.76555,2014,0,70.0833333333333,13.575,87.0416666666667,11.4208333333333,14.6041666666667,5760,6.6,7.5,287,-7.1723,2.1928,81,"6",-0.528566666666667,0.745479166666667,-5.567,3.7692
2014-12-21,3.02487629591027,324.575380261368,20.125,5.33333333333333,-1.75330833333333,2.4649,2014,0,99.4166666666667,15.775,76.5416666666667,11.525,14.7333333333333,5860,13.2,7,312,-5.202,4.6839,82,"0",-1.29337916666667,3.41371666666667,-1.9086,6.4433
2014-12-22,2.67217809790868,353.963071749179,13.0434782608696,4.39130434782609,-0.281033333333333,2.65735833333333,2014,0,120.304347826087,17.0391304347826,67.8260869565217,10.8608695652174,14.9739130434783,5880,19,5.5,27,2.4969,4.9005,83,"1",0.429504166666667,4.93421666666667,5.8077,7.4927
2014-12-23,1.45753210942182,43.2789621790694,17.9166666666667,7.83333333333333,0.999229166666667,1.06111666666667,2014,0,123.958333333333,17.8041666666667,63.75,10.4458333333333,14.9166666666667,5860,19.2,4.1,251,-3.8766,-1.3348,84,"2",1.39882083333333,2.37953333333333,3.9721,4.2566
2014-12-24,3.45311381665979,309.115671237094,36.625,8.91666666666667,-2.6791875,2.178525,2014,0,81.375,13.4708333333333,79.625,9.92916666666667,14.7833333333333,5820,14.6,10,304,-8.2904,5.5919,85,"3",-2.35252916666667,2.3666625,-8.1467,5.5365
2014-12-25,2.45218018947384,353.695745555292,10.0833333333333,6.41666666666667,-0.269270833333333,2.43734166666667,2014,0,128.625,10.4875,56,1.7125,14.0583333333333,5630,4.8,7.6,334,-3.3316,6.8308,86,"4",0.775825,5.73785833333333,0.4621,9.3185
2014-12-26,1.73225122978745,10.2941209135481,11.0416666666667,7.20833333333333,0.309554166666667,1.70437083333333,2014,0,129.041666666667,9.24166666666667,53.9583333333333,-0.0125,13.0916666666667,5630,2.4,4.7,314,-3.3809,3.2649,87,"5",1.23370833333333,2.53749583333333,-1.2238,5.7083
2014-12-27,0.53593202229298,113.405713415568,22.7083333333333,11.9583333333333,0.491841666666667,-0.212895833333333,2014,0,127.416666666667,8.9,63.6666666666667,1.92916666666667,12.7083333333333,5740,6,6.7,261,-6.6175,-1.0481,88,"6",1.41439166666667,-0.203229166666667,4.9137,-3.2277
2014-12-28,2.32118698445903,311.589543320935,40,14.0833333333333,-1.73605833333333,1.5407625,2014,0,123.875,9.85,62.9583333333333,2.6625,12.6166666666667,5760,6.2,9.2,296,-8.2689,4.033,89,"0",-0.5544125,1.27390833333333,-7.577,4.1311
2014-12-29,1.99637247881317,313.981099534227,44.5,14.8333333333333,-1.4365375,1.38634166666667,2014,0,131.583333333333,10.2375,64.6666666666667,3.37916666666667,12.4583333333333,5770,10.8,9.7,293,-8.9289,3.7901,90,"1",-0.414391666666667,1.62270416666667,-7.8862,4.7573
2014-12-30,1.8848653467829,10.8458286433439,14.3333333333333,8.83333333333333,0.354670833333333,1.85119583333333,2014,0,109.291666666667,8.82916666666667,64.75,2.32083333333333,12.4041666666667,NA,NA,5.9,331,-2.8604,5.1603,91,"2",1.157,3.59974166666667,3.592,5.2994
2014-12-31,2.01959859107247,51.2367505489488,20.3333333333333,11.625,1.5747625,1.26447916666667,2014,0,131.416666666667,6.75416666666667,44.3333333333333,-6.01666666666667,11.6875,5490,-1.1,5.7,40,3.6639,4.3665,92,"3",NA,NA,2.164,1.3564
2015-01-01,1.34475783604439,103.916705632535,27.25,15.2916666666667,1.30529166666667,-0.3234375,2015,0,129.666666666667,7.575,59,-0.4,11.3833333333333,5620,2.6,6.2,293,-5.7071,2.4225,93,"4",2.02802083333333,-0.633304166666667,4.3581,-2.9506
2015-01-02,0.265236727169333,20.6409391706642,31.8333333333333,14.25,0.0934958333333333,0.2482125,2015,0,130.458333333333,7.825,71.7916666666667,2.7,11.5166666666667,5710,5.2,7.6,290,-7.1417,2.5994,94,"5",0.527229166666667,0.05285,-6.4482,3.8439
2015-01-03,0.285324080588723,75.675096241498,25.375,13.2083333333333,0.27645,0.0705833333333333,2015,0,128.666666666667,8.04166666666667,69.8333333333333,2.64583333333333,11.5375,5720,5.6,6.2,284,-6.0158,1.4999,95,"6",0.76915,-0.204504166666667,3.3292,-2.6482
