"code"|"region"
"19-125"|"IA-Marion"
"19-127"|"IA-Marshall"
"19-129"|"IA-Mills"
"19-131"|"IA-Mitchell"
"19-133"|"IA-Monona"
"19-135"|"IA-Monroe"
"19-137"|"IA-Montgomery"
"19-139"|"IA-Muscatine"
"19-141"|"IA-O'Brien"
"19-143"|"IA-Osceola"
"19-145"|"IA-Page"
"19-147"|"IA-Palo_Alto"
"19-149"|"IA-Plymouth"
"19-151"|"IA-Pocahontas"
"19-153"|"IA-Polk"
"19-155"|"IA-Pottawattamie"
"19-157"|"IA-Poweshiek"
"19-159"|"IA-Ringgold"
"19-161"|"IA-Sac"
"19-163"|"IA-Scott"
"19-165"|"IA-Shelby"
"19-167"|"IA-Sioux"
"19-169"|"IA-Story"
"19-171"|"IA-Tama"
"19-173"|"IA-Taylor"
"19-175"|"IA-Union"
"19-177"|"IA-Van_Buren"
"19-179"|"IA-Wapello"
"19-181"|"IA-Warren"
"19-183"|"IA-Washington"
"19-185"|"IA-Wayne"
"19-187"|"IA-Webster"
"19-189"|"IA-Winnebago"
"19-191"|"IA-Winneshiek"
"19-193"|"IA-Woodbury"
"19-195"|"IA-Worth"
"19-197"|"IA-Wright"
"20-001"|"KS-Allen"
"20-003"|"KS-Anderson"
"20-005"|"KS-Atchison"
"20-007"|"KS-Barber"
"20-009"|"KS-Barton"
"20-011"|"KS-Bourbon"
"20-013"|"KS-Brown"
"20-015"|"KS-Butler"
"20-017"|"KS-Chase"
"20-019"|"KS-Chautauqua"
"20-021"|"KS-Cherokee"
"20-023"|"KS-Cheyenne"
"20-025"|"KS-Clark"
"20-027"|"KS-Clay"
"20-029"|"KS-Cloud"
"20-031"|"KS-Coffey"
"20-033"|"KS-Comanche"
"20-035"|"KS-Cowley"
"20-037"|"KS-Crawford"
"20-039"|"KS-Decatur"
"20-041"|"KS-Dickinson"
"20-043"|"KS-Doniphan"
"20-045"|"KS-Douglas"
"20-047"|"KS-Edwards"
"20-049"|"KS-Elk"
"20-051"|"KS-Ellis"
"20-053"|"KS-Ellsworth"
"20-055"|"KS-Finney"
"20-057"|"KS-Ford"
"20-059"|"KS-Franklin"
"20-061"|"KS-Geary"
"20-063"|"KS-Gove"
"20-065"|"KS-Graham"
"20-067"|"KS-Grant"
"20-069"|"KS-Gray"
"20-071"|"KS-Greeley"
"20-073"|"KS-Greenwood"
"20-075"|"KS-Hamilton"
"20-077"|"KS-Harper"
"20-079"|"KS-Harvey"
"20-081"|"KS-Haskell"
"20-083"|"KS-Hodgeman"
"20-085"|"KS-Jackson"
"20-087"|"KS-Jefferson"
"20-089"|"KS-Jewell"
"20-091"|"KS-Johnson"
"20-093"|"KS-Kearny"
"20-095"|"KS-Kingman"
"20-097"|"KS-Kiowa"
"20-099"|"KS-Labette"
"20-101"|"KS-Lane"
"20-103"|"KS-Leavenworth"
"20-105"|"KS-Lincoln"
"20-107"|"KS-Linn"
"20-109"|"KS-Logan"
"20-111"|"KS-Lyon"
"20-113"|"KS-McPherson"
"20-115"|"KS-Marion"
"20-117"|"KS-Marshall"
"20-119"|"KS-Meade"
"20-121"|"KS-Miami"
"20-123"|"KS-Mitchell"
"20-125"|"KS-Montgomery"
"20-127"|"KS-Morris"
"20-129"|"KS-Morton"
"20-131"|"KS-Nemaha"
"20-133"|"KS-Neosho"
"20-135"|"KS-Ness"
"20-137"|"KS-Norton"
"20-139"|"KS-Osage"
"20-141"|"KS-Osborne"
"20-143"|"KS-Ottawa"
"20-145"|"KS-Pawnee"
"20-147"|"KS-Phillips"
"20-149"|"KS-Pottawatomie"
"20-151"|"KS-Pratt"
"20-153"|"KS-Rawlins"
"20-155"|"KS-Reno"
"20-157"|"KS-Republic"
"20-159"|"KS-Rice"
"20-161"|"KS-Riley"
"20-163"|"KS-Rooks"
"20-165"|"KS-Rush"
"20-167"|"KS-Russell"
"20-169"|"KS-Saline"
"20-171"|"KS-Scott"
"20-173"|"KS-Sedgwick"
"20-175"|"KS-Seward"
"20-177"|"KS-Shawnee"
"20-179"|"KS-Sheridan"
"20-181"|"KS-Sherman"
"20-183"|"KS-Smith"
"20-185"|"KS-Stafford"
"20-187"|"KS-Stanton"
"20-189"|"KS-Stevens"
"20-191"|"KS-Sumner"
"20-193"|"KS-Thomas"
"20-195"|"KS-Trego"
"20-197"|"KS-Wabaunsee"
"20-199"|"KS-Wallace"
"20-201"|"KS-Washington"
"20-203"|"KS-Wichita"
"20-205"|"KS-Wilson"
"20-207"|"KS-Woodson"
"20-209"|"KS-Wyandotte"
"21-001"|"KY-Adair"
"21-003"|"KY-Allen"
"21-005"|"KY-Anderson"
"21-007"|"KY-Ballard"
"21-009"|"KY-Barren"
"21-011"|"KY-Bath"
"21-013"|"KY-Bell"
"21-015"|"KY-Boone"
"21-017"|"KY-Bourbon"
"21-019"|"KY-Boyd"
"21-021"|"KY-Boyle"
"21-023"|"KY-Bracken"
"21-025"|"KY-Breathitt"
"21-027"|"KY-Breckinridge"
"21-029"|"KY-Bullitt"
"21-031"|"KY-Butler"
"21-033"|"KY-Caldwell"
"21-035"|"KY-Calloway"
"21-037"|"KY-Campbell"
"21-039"|"KY-Carlisle"
"21-041"|"KY-Carroll"
"21-043"|"KY-Carter"
"21-045"|"KY-Casey"
"21-047"|"KY-Christian"
"21-049"|"KY-Clark"
"21-051"|"KY-Clay"
"21-053"|"KY-Clinton"
"21-055"|"KY-Crittenden"
"21-057"|"KY-Cumberland"
"21-059"|"KY-Daviess"
"21-061"|"KY-Edmonson"
"21-063"|"KY-Elliott"
"21-065"|"KY-Estill"
"21-067"|"KY-Fayette"
"21-069"|"KY-Fleming"
"21-071"|"KY-Floyd"
"21-073"|"KY-Franklin"
"21-075"|"KY-Fulton"
"21-077"|"KY-Gallatin"
"21-079"|"KY-Garrard"
"21-081"|"KY-Grant"
"21-083"|"KY-Graves"
"21-085"|"KY-Grayson"
"21-087"|"KY-Green"
"21-089"|"KY-Greenup"
"21-091"|"KY-Hancock"
"21-093"|"KY-Hardin"
"21-095"|"KY-Harlan"
"21-097"|"KY-Harrison"
"21-099"|"KY-Hart"
"21-101"|"KY-Henderson"
"21-103"|"KY-Henry"
"21-105"|"KY-Hickman"
"21-107"|"KY-Hopkins"
"21-109"|"KY-Jackson"
"21-111"|"KY-Jefferson"
"21-113"|"KY-Jessamine"
"21-115"|"KY-Johnson"
"21-117"|"KY-Kenton"
"21-119"|"KY-Knott"
"21-121"|"KY-Knox"
"21-123"|"KY-Larue"
"21-125"|"KY-Laurel"
"21-127"|"KY-Lawrence"
"21-129"|"KY-Lee"
"21-131"|"KY-Leslie"
"21-133"|"KY-Letcher"
"21-135"|"KY-Lewis"
"21-137"|"KY-Lincoln"
"21-139"|"KY-Livingston"
"21-141"|"KY-Logan"
"21-143"|"KY-Lyon"
"21-145"|"KY-McCracken"
"21-147"|"KY-McCreary"
"21-149"|"KY-McLean"
"21-151"|"KY-Madison"
"21-153"|"KY-Magoffin"
"21-155"|"KY-Marion"
"21-157"|"KY-Marshall"
"21-159"|"KY-Martin"
"21-161"|"KY-Mason"
"21-163"|"KY-Meade"
"21-165"|"KY-Menifee"
"21-167"|"KY-Mercer"
"21-169"|"KY-Metcalfe"
"21-171"|"KY-Monroe"
"21-173"|"KY-Montgomery"
"21-175"|"KY-Morgan"
"21-177"|"KY-Muhlenberg"
"21-179"|"KY-Nelson"
"21-181"|"KY-Nicholas"
"21-183"|"KY-Ohio"
"21-185"|"KY-Oldham"
"21-187"|"KY-Owen"
"21-189"|"KY-Owsley"
"21-191"|"KY-Pendleton"
"21-193"|"KY-Perry"
"21-195"|"KY-Pike"
"21-197"|"KY-Powell"
"21-199"|"KY-Pulaski"
"21-201"|"KY-Robertson"
"21-203"|"KY-Rockcastle"
"21-205"|"KY-Rowan"
"21-207"|"KY-Russell"
"21-209"|"KY-Scott"
"21-211"|"KY-Shelby"
"21-213"|"KY-Simpson"
"21-215"|"KY-Spencer"
"21-217"|"KY-Taylor"
"21-219"|"KY-Todd"
"21-221"|"KY-Trigg"
"21-223"|"KY-Trimble"
"21-225"|"KY-Union"
"21-227"|"KY-Warren"
"21-229"|"KY-Washington"
"21-231"|"KY-Wayne"
"21-233"|"KY-Webster"
"21-235"|"KY-Whitley"
"21-237"|"KY-Wolfe"
"21-239"|"KY-Woodford"
"22-001"|"LA-Acadia"
"22-003"|"LA-Allen"
"22-005"|"LA-Ascension"
"22-007"|"LA-Assumption"
"22-009"|"LA-Avoyelles"
"22-011"|"LA-Beauregard"
"22-013"|"LA-Bienville"
"22-015"|"LA-Bossier"
"22-017"|"LA-Caddo"
"22-019"|"LA-Calcasieu"
"22-021"|"LA-Caldwell"
"22-023"|"LA-Cameron"
"22-025"|"LA-Catahoula"
"22-027"|"LA-Claiborne"
"22-029"|"LA-Concordia"
"22-031"|"LA-De_Soto"
"22-033"|"LA-East_Baton_Rouge"
"22-035"|"LA-East_Carroll"
"22-037"|"LA-East_Feliciana"
"22-039"|"LA-Evangeline"
"22-041"|"LA-Franklin"
"22-043"|"LA-Grant"
"22-045"|"LA-Iberia"
"22-047"|"LA-Iberville"
"22-049"|"LA-Jackson"
"22-051"|"LA-Jefferson"
"22-053"|"LA-Jefferson_Davis"
"22-055"|"LA-Lafayette"
"22-057"|"LA-Lafourche"
"22-059"|"LA-La_Salle"
"22-061"|"LA-Lincoln"
"22-063"|"LA-Livingston"
"22-065"|"LA-Madison"
"22-067"|"LA-Morehouse"
"22-069"|"LA-Natchitoches"
"22-071"|"LA-Orleans"
"22-073"|"LA-Ouachita"
"22-075"|"LA-Plaquemines"
"22-077"|"LA-Pointe_Coupee"
"22-079"|"LA-Rapides"
"22-081"|"LA-Red_River"
"22-083"|"LA-Richland"
"22-085"|"LA-Sabine"
"22-087"|"LA-St._Bernard"
"22-089"|"LA-St._Charles"
"22-091"|"LA-St._Helena"
"22-093"|"LA-St._James"
"22-095"|"LA-St._John_the_Baptist"
"22-097"|"LA-St._Landry"
"22-099"|"LA-St._Martin"
"22-101"|"LA-St._Mary"
"22-103"|"LA-St._Tammany"
"22-105"|"LA-Tangipahoa"
"22-107"|"LA-Tensas"
"22-109"|"LA-Terrebonne"
"22-111"|"LA-Union"
"22-113"|"LA-Vermilion"
"22-115"|"LA-Vernon"
"22-117"|"LA-Washington"
"22-119"|"LA-Webster"
"22-121"|"LA-West_Baton_Rouge"
"22-123"|"LA-West_Carroll"
"22-125"|"LA-West_Feliciana"
"22-127"|"LA-Winn"
"23-001"|"ME-Androscoggin"
"23-003"|"ME-Aroostook"
"23-005"|"ME-Cumberland"
"23-007"|"ME-Franklin"
"23-009"|"ME-Hancock"
"23-011"|"ME-Kennebec"
"23-013"|"ME-Knox"
"23-015"|"ME-Lincoln"
"23-017"|"ME-Oxford"
"23-019"|"ME-Penobscot"
"23-021"|"ME-Piscataquis"
"23-023"|"ME-Sagadahoc"
"23-025"|"ME-Somerset"
"23-027"|"ME-Waldo"
"23-029"|"ME-Washington"
"23-031"|"ME-York"
"23-901"|"ME-MOBILE_MONITORS"
"24-001"|"MD-Allegany"
"24-003"|"MD-Anne_Arundel"
"24-005"|"MD-Baltimore"
"24-009"|"MD-Calvert"
"24-011"|"MD-Caroline"
"24-013"|"MD-Carroll"
"24-015"|"MD-Cecil"
"24-017"|"MD-Charles"
"24-019"|"MD-Dorchester"
"24-021"|"MD-Frederick"
"24-023"|"MD-Garrett"
"24-025"|"MD-Harford"
"24-027"|"MD-Howard"
"24-029"|"MD-Kent"
"24-031"|"MD-Montgomery"
"24-033"|"MD-Prince_George's"
"24-035"|"MD-Queen_Anne's"
"24-037"|"MD-St._Mary's"
"24-039"|"MD-Somerset"
"24-041"|"MD-Talbot"
"24-043"|"MD-Washington"
"24-045"|"MD-Wicomico"
"24-047"|"MD-Worcester"
"24-510"|"MD-Baltimore_(City)"
"25-001"|"MA-Barnstable"
"25-003"|"MA-Berkshire"
"25-005"|"MA-Bristol"
"25-007"|"MA-Dukes"
"25-009"|"MA-Essex"
"25-011"|"MA-Franklin"
"25-013"|"MA-Hampden"
"25-015"|"MA-Hampshire"
"25-017"|"MA-Middlesex"
"25-019"|"MA-Nantucket"
"25-021"|"MA-Norfolk"
"25-023"|"MA-Plymouth"
"25-025"|"MA-Suffolk"
"25-027"|"MA-Worcester"
"26-001"|"MI-Alcona"
"26-003"|"MI-Alger"
"26-005"|"MI-Allegan"
"26-007"|"MI-Alpena"
"26-009"|"MI-Antrim"
"26-011"|"MI-Arenac"
"26-013"|"MI-Baraga"
"26-015"|"MI-Barry"
"26-017"|"MI-Bay"
"26-019"|"MI-Benzie"
"26-021"|"MI-Berrien"
"26-023"|"MI-Branch"
"26-025"|"MI-Calhoun"
"26-027"|"MI-Cass"
"26-029"|"MI-Charlevoix"
"26-031"|"MI-Cheboygan"
"26-033"|"MI-Chippewa"
"26-035"|"MI-Clare"
"26-037"|"MI-Clinton"
"26-039"|"MI-Crawford"
"26-041"|"MI-Delta"
"26-043"|"MI-Dickinson"
"26-045"|"MI-Eaton"
"26-047"|"MI-Emmet"
"26-049"|"MI-Genesee"
"26-051"|"MI-Gladwin"
"26-053"|"MI-Gogebic"
"26-055"|"MI-Grand_Traverse"
"26-057"|"MI-Gratiot"
"26-059"|"MI-Hillsdale"
"26-061"|"MI-Houghton"
"26-063"|"MI-Huron"
"26-065"|"MI-Ingham"
"26-067"|"MI-Ionia"
"26-069"|"MI-Iosco"
"26-071"|"MI-Iron"
"26-073"|"MI-Isabella"
"26-075"|"MI-Jackson"
"26-077"|"MI-Kalamazoo"
"26-079"|"MI-Kalkaska"
"26-081"|"MI-Kent"
"26-083"|"MI-Keweenaw"
"26-085"|"MI-Lake"
"26-087"|"MI-Lapeer"
"26-089"|"MI-Leelanau"
"26-091"|"MI-Lenawee"
"26-093"|"MI-Livingston"
"26-095"|"MI-Luce"
"26-097"|"MI-Mackinac"
"26-099"|"MI-Macomb"
"26-101"|"MI-Manistee"
"26-103"|"MI-Marquette"
"26-105"|"MI-Mason"
"26-107"|"MI-Mecosta"
"26-109"|"MI-Menominee"
"26-111"|"MI-Midland"
"26-113"|"MI-Missaukee"
"26-115"|"MI-Monroe"
"26-117"|"MI-Montcalm"
"26-119"|"MI-Montmorency"
"26-121"|"MI-Muskegon"
"26-123"|"MI-Newaygo"
"26-125"|"MI-Oakland"
"26-127"|"MI-Oceana"
"26-129"|"MI-Ogemaw"
"26-131"|"MI-Ontonagon"
"26-133"|"MI-Osceola"
"26-135"|"MI-Oscoda"
"26-137"|"MI-Otsego"
"26-139"|"MI-Ottawa"
"26-141"|"MI-Presque_Isle"
"26-143"|"MI-Roscommon"
"26-145"|"MI-Saginaw"
"26-147"|"MI-St._Clair"
"26-149"|"MI-St._Joseph"
"26-151"|"MI-Sanilac"
"26-153"|"MI-Schoolcraft"
"26-155"|"MI-Shiawassee"
"26-157"|"MI-Tuscola"
"26-159"|"MI-Van_Buren"
"26-161"|"MI-Washtenaw"
"26-163"|"MI-Wayne"
"26-165"|"MI-Wexford"
"27-001"|"MN-Aitkin"
"27-003"|"MN-Anoka"
"27-005"|"MN-Becker"
"27-007"|"MN-Beltrami"
"27-009"|"MN-Benton"
"27-011"|"MN-Big_Stone"
"27-013"|"MN-Blue_Earth"
"27-015"|"MN-Brown"
"27-017"|"MN-Carlton"
"27-019"|"MN-Carver"
"27-021"|"MN-Cass"
"27-023"|"MN-Chippewa"
"27-025"|"MN-Chisago"
"27-027"|"MN-Clay"
"27-029"|"MN-Clearwater"
"27-031"|"MN-Cook"
"27-033"|"MN-Cottonwood"
"27-035"|"MN-Crow_Wing"
"27-037"|"MN-Dakota"
"27-039"|"MN-Dodge"
"27-041"|"MN-Douglas"
"27-043"|"MN-Faribault"
"27-045"|"MN-Fillmore"
"27-047"|"MN-Freeborn"
"27-049"|"MN-Goodhue"
"27-051"|"MN-Grant"
"27-053"|"MN-Hennepin"
"27-055"|"MN-Houston"
"27-057"|"MN-Hubbard"
"27-059"|"MN-Isanti"
"27-061"|"MN-Itasca"
"27-063"|"MN-Jackson"
"27-065"|"MN-Kanabec"
"27-067"|"MN-Kandiyohi"
"27-069"|"MN-Kittson"
"27-071"|"MN-Koochiching"
"27-073"|"MN-Lac_qui_Parle"
"27-075"|"MN-Lake"
"27-077"|"MN-Lake_of_the_Woods"
"27-079"|"MN-Le_Sueur"
"27-081"|"MN-Lincoln"
"27-083"|"MN-Lyon"
"27-085"|"MN-McLeod"
"27-087"|"MN-Mahnomen"
"27-089"|"MN-Marshall"
"27-091"|"MN-Martin"
"27-093"|"MN-Meeker"
"27-095"|"MN-Mille_Lacs"
"27-097"|"MN-Morrison"
"27-099"|"MN-Mower"
"27-101"|"MN-Murray"
"27-103"|"MN-Nicollet"
"27-105"|"MN-Nobles"
"27-107"|"MN-Norman"
"27-109"|"MN-Olmsted"
"27-111"|"MN-Otter_Tail"
"27-113"|"MN-Pennington"
"27-115"|"MN-Pine"
"27-117"|"MN-Pipestone"
"27-119"|"MN-Polk"
"27-121"|"MN-Pope"
"27-123"|"MN-Ramsey"
"27-125"|"MN-Red_Lake"
"27-127"|"MN-Redwood"
"27-129"|"MN-Renville"
"27-131"|"MN-Rice"
"27-133"|"MN-Rock"
"27-135"|"MN-Roseau"
"27-137"|"MN-Saint_Louis"
"27-139"|"MN-Scott"
"27-141"|"MN-Sherburne"
"27-143"|"MN-Sibley"
"27-145"|"MN-Stearns"
"27-147"|"MN-Steele"
"27-149"|"MN-Stevens"
"27-151"|"MN-Swift"
"27-153"|"MN-Todd"
"27-155"|"MN-Traverse"
"27-157"|"MN-Wabasha"
"27-159"|"MN-Wadena"
"27-161"|"MN-Waseca"
"27-163"|"MN-Washington"
"27-165"|"MN-Watonwan"
"27-167"|"MN-Wilkin"
"27-169"|"MN-Winona"
"27-171"|"MN-Wright"
"27-173"|"MN-Yellow_Medicine"
"28-001"|"MS-Adams"
"28-003"|"MS-Alcorn"
"28-005"|"MS-Amite"
"28-007"|"MS-Attala"
"28-009"|"MS-Benton"
"28-011"|"MS-Bolivar"
"28-013"|"MS-Calhoun"
"28-015"|"MS-Carroll"
"28-017"|"MS-Chickasaw"
"28-019"|"MS-Choctaw"
"28-021"|"MS-Claiborne"
"28-023"|"MS-Clarke"
"28-025"|"MS-Clay"
"28-027"|"MS-Coahoma"
"28-029"|"MS-Copiah"
"28-031"|"MS-Covington"
"28-033"|"MS-DeSoto"
"28-035"|"MS-Forrest"
"28-037"|"MS-Franklin"
"28-039"|"MS-George"
"28-041"|"MS-Greene"
"28-043"|"MS-Grenada"
"28-045"|"MS-Hancock"
"28-047"|"MS-Harrison"
"28-049"|"MS-Hinds"
"28-051"|"MS-Holmes"
"28-053"|"MS-Humphreys"
"28-055"|"MS-Issaquena"
"28-057"|"MS-Itawamba"
"28-059"|"MS-Jackson"
"28-061"|"MS-Jasper"
"28-063"|"MS-Jefferson"
"28-065"|"MS-Jefferson_Davis"
"28-067"|"MS-Jones"
"28-069"|"MS-Kemper"
"28-071"|"MS-Lafayette"
"28-073"|"MS-Lamar"
"28-075"|"MS-Lauderdale"
"28-077"|"MS-Lawrence"
"28-079"|"MS-Leake"
"28-081"|"MS-Lee"
"28-083"|"MS-Leflore"
"28-085"|"MS-Lincoln"
"28-087"|"MS-Lowndes"
"28-089"|"MS-Madison"
"28-091"|"MS-Marion"
"28-093"|"MS-Marshall"
"28-095"|"MS-Monroe"
"28-097"|"MS-Montgomery"
"28-099"|"MS-Neshoba"
"28-101"|"MS-Newton"
"28-103"|"MS-Noxubee"
"28-105"|"MS-Oktibbeha"
"28-107"|"MS-Panola"
"28-109"|"MS-Pearl_River"
"28-111"|"MS-Perry"
"28-113"|"MS-Pike"
"28-115"|"MS-Pontotoc"
"28-117"|"MS-Prentiss"
"28-119"|"MS-Quitman"
"28-121"|"MS-Rankin"
"28-123"|"MS-Scott"
"28-125"|"MS-Sharkey"
"28-127"|"MS-Simpson"
"28-129"|"MS-Smith"
"28-131"|"MS-Stone"
"28-133"|"MS-Sunflower"
"28-135"|"MS-Tallahatchie"
"28-137"|"MS-Tate"
"28-139"|"MS-Tippah"
"28-141"|"MS-Tishomingo"
"28-143"|"MS-Tunica"
"28-145"|"MS-Union"
"28-147"|"MS-Walthall"
"28-149"|"MS-Warren"
"28-151"|"MS-Washington"
"28-153"|"MS-Wayne"
"28-155"|"MS-Webster"
"28-157"|"MS-Wilkinson"
"28-159"|"MS-Winston"
"28-161"|"MS-Yalobusha"
"28-163"|"MS-Yazoo"
"29-001"|"MO-Adair"
"29-003"|"MO-Andrew"
"29-005"|"MO-Atchison"
"29-007"|"MO-Audrain"
"29-009"|"MO-Barry"
"29-011"|"MO-Barton"
"29-013"|"MO-Bates"
"29-015"|"MO-Benton"
"29-017"|"MO-Bollinger"
"29-019"|"MO-Boone"
"29-021"|"MO-Buchanan"
"29-023"|"MO-Butler"
"29-025"|"MO-Caldwell"
"29-027"|"MO-Callaway"
"29-029"|"MO-Camden"
"29-031"|"MO-Cape_Girardeau"
"29-033"|"MO-Carroll"
"29-035"|"MO-Carter"
"29-037"|"MO-Cass"
"29-039"|"MO-Cedar"
"29-041"|"MO-Chariton"
"29-043"|"MO-Christian"
"29-045"|"MO-Clark"
"29-047"|"MO-Clay"
"29-049"|"MO-Clinton"
"29-051"|"MO-Cole"
"29-053"|"MO-Cooper"
"29-055"|"MO-Crawford"
"29-057"|"MO-Dade"
"29-059"|"MO-Dallas"
"29-061"|"MO-Daviess"
"29-063"|"MO-DeKalb"
"29-065"|"MO-Dent"
"29-067"|"MO-Douglas"
"29-069"|"MO-Dunklin"
"29-071"|"MO-Franklin"
"29-073"|"MO-Gasconade"
"29-075"|"MO-Gentry"
"29-077"|"MO-Greene"
"29-079"|"MO-Grundy"
"29-081"|"MO-Harrison"
"29-083"|"MO-Henry"
"29-085"|"MO-Hickory"
"29-087"|"MO-Holt"
"29-089"|"MO-Howard"
"29-091"|"MO-Howell"
"29-093"|"MO-Iron"
"29-095"|"MO-Jackson"
"29-097"|"MO-Jasper"
"29-099"|"MO-Jefferson"
"29-101"|"MO-Johnson"
"29-103"|"MO-Knox"
"29-105"|"MO-Laclede"
"29-107"|"MO-Lafayette"
"29-109"|"MO-Lawrence"
"29-111"|"MO-Lewis"
"29-113"|"MO-Lincoln"
"29-115"|"MO-Linn"
"29-117"|"MO-Livingston"
"29-119"|"MO-McDonald"
"29-121"|"MO-Macon"
"29-123"|"MO-Madison"
"29-125"|"MO-Maries"
"29-127"|"MO-Marion"
"29-129"|"MO-Mercer"
"29-131"|"MO-Miller"
"29-133"|"MO-Mississippi"
"29-135"|"MO-Moniteau"
"29-137"|"MO-Monroe"
"29-139"|"MO-Montgomery"
"29-141"|"MO-Morgan"
"29-143"|"MO-New_Madrid"
"29-145"|"MO-Newton"
"29-147"|"MO-Nodaway"
"29-149"|"MO-Oregon"
"29-151"|"MO-Osage"
"29-153"|"MO-Ozark"
"29-155"|"MO-Pemiscot"
"29-157"|"MO-Perry"
"29-159"|"MO-Pettis"
"29-161"|"MO-Phelps"
"29-163"|"MO-Pike"
"29-165"|"MO-Platte"
"29-167"|"MO-Polk"
"29-169"|"MO-Pulaski"
"29-171"|"MO-Putnam"
"29-173"|"MO-Ralls"
"29-175"|"MO-Randolph"
"29-177"|"MO-Ray"
"29-179"|"MO-Reynolds"
"29-181"|"MO-Ripley"
"29-183"|"MO-Saint_Charles"
"29-185"|"MO-Saint_Clair"
"29-186"|"MO-Sainte_Genevieve"
"29-187"|"MO-Saint_Francois"
"29-189"|"MO-Saint_Louis"
"29-195"|"MO-Saline"
"29-197"|"MO-Schuyler"
"29-199"|"MO-Scotland"
"29-201"|"MO-Scott"
"29-203"|"MO-Shannon"
"29-205"|"MO-Shelby"
"29-207"|"MO-Stoddard"
"29-209"|"MO-Stone"
"29-211"|"MO-Sullivan"
"29-213"|"MO-Taney"
"29-215"|"MO-Texas"
"29-217"|"MO-Vernon"
"29-219"|"MO-Warren"
"29-221"|"MO-Washington"
"29-223"|"MO-Wayne"
"29-225"|"MO-Webster"
"29-227"|"MO-Worth"
"29-229"|"MO-Wright"
"29-510"|"MO-St._Louis_City"
"30-001"|"MT-Beaverhead"
"30-003"|"MT-Big_Horn"
"30-005"|"MT-Blaine"
"30-007"|"MT-Broadwater"
"30-009"|"MT-Carbon"
"30-011"|"MT-Carter"
"30-013"|"MT-Cascade"
"30-015"|"MT-Chouteau"
"30-017"|"MT-Custer"
"30-019"|"MT-Daniels"
"30-021"|"MT-Dawson"
"30-023"|"MT-Deer_Lodge"
"30-025"|"MT-Fallon"
"30-027"|"MT-Fergus"
"30-029"|"MT-Flathead"
"30-031"|"MT-Gallatin"
"30-033"|"MT-Garfield"
"30-035"|"MT-Glacier"
"30-037"|"MT-Golden_Valley"
"30-039"|"MT-Granite"
"30-041"|"MT-Hill"
"30-043"|"MT-Jefferson"
"30-045"|"MT-Judith_Basin"
"30-047"|"MT-Lake"
"30-049"|"MT-Lewis_and_Clark"
"30-051"|"MT-Liberty"
"30-053"|"MT-Lincoln"
"30-055"|"MT-McCone"
"30-057"|"MT-Madison"
"30-059"|"MT-Meagher"
"30-061"|"MT-Mineral"
"30-063"|"MT-Missoula"
"30-065"|"MT-Musselshell"
"30-067"|"MT-Park"
"30-069"|"MT-Petroleum"
"30-071"|"MT-Phillips"
"30-073"|"MT-Pondera"
"30-075"|"MT-Powder_River"
"30-077"|"MT-Powell"
"30-079"|"MT-Prairie"
"30-081"|"MT-Ravalli"
"30-083"|"MT-Richland"
"30-085"|"MT-Roosevelt"
"30-087"|"MT-Rosebud"
"30-089"|"MT-Sanders"
"30-091"|"MT-Sheridan"
"30-093"|"MT-Silver_Bow"
"30-095"|"MT-Stillwater"
"30-097"|"MT-Sweet_Grass"
"30-099"|"MT-Teton"
"30-101"|"MT-Toole"
"30-103"|"MT-Treasure"
"30-105"|"MT-Valley"
"30-107"|"MT-Wheatland"
"30-109"|"MT-Wibaux"
"30-111"|"MT-Yellowstone"
"30-113"|"MT-YELLOWSTONE_NATIONAL_PARK"
"31-001"|"NE-Adams"
"31-003"|"NE-Antelope"
"31-005"|"NE-Arthur"
"31-007"|"NE-Banner"
"31-009"|"NE-Blaine"
"31-011"|"NE-Boone"
"31-013"|"NE-Box_Butte"
"31-015"|"NE-Boyd"
"31-017"|"NE-Brown"
"31-019"|"NE-Buffalo"
"31-021"|"NE-Burt"
"31-023"|"NE-Butler"
"31-025"|"NE-Cass"
"31-027"|"NE-Cedar"
"31-029"|"NE-Chase"
"31-031"|"NE-Cherry"
"31-033"|"NE-Cheyenne"
"31-035"|"NE-Clay"
"31-037"|"NE-Colfax"
"31-039"|"NE-Cuming"
"31-041"|"NE-Custer"
"31-043"|"NE-Dakota"
"31-045"|"NE-Dawes"
"31-047"|"NE-Dawson"
"31-049"|"NE-Deuel"
"31-051"|"NE-Dixon"
"31-053"|"NE-Dodge"
"31-055"|"NE-Douglas"
"31-057"|"NE-Dundy"
"31-059"|"NE-Fillmore"
"31-061"|"NE-Franklin"
"31-063"|"NE-Frontier"
"31-065"|"NE-Furnas"
"31-067"|"NE-Gage"
"31-069"|"NE-Garden"
"31-071"|"NE-Garfield"
"31-073"|"NE-Gosper"
"31-075"|"NE-Grant"
"31-077"|"NE-Greeley"
"31-079"|"NE-Hall"
"31-081"|"NE-Hamilton"
"31-083"|"NE-Harlan"
"31-085"|"NE-Hayes"
"31-087"|"NE-Hitchcock"
"31-089"|"NE-Holt"
"31-091"|"NE-Hooker"
"31-093"|"NE-Howard"
"31-095"|"NE-Jefferson"
"31-097"|"NE-Johnson"
"31-099"|"NE-Kearney"
"31-101"|"NE-Keith"
"31-103"|"NE-Keya_Paha"
"31-105"|"NE-Kimball"
"31-107"|"NE-Knox"
